名稱,2018/5/16,2018/5/15,2018/5/14,2018/5/11,2018/5/10,2018/5/9,2018/5/8,2018/5/7,2018/5/4,2018/5/3,2018/5/2,2018/4/30,2018/4/27,2018/4/26,2018/4/25,2018/4/24,2018/4/23,2018/4/20,2018/4/19,2018/4/18,2018/4/17,2018/4/16,2018/4/13,2018/4/12,2018/4/11,2018/4/10,2018/4/9,2018/4/3,2018/4/2,2018/3/29
安聯DMAS全球傘型基金之安聯DMAS50組合基金美元,10.56,10.54,10.64,10.62,10.59,10.48,10.47,10.48,10.49,10.4,10.42,10.52,10.56,10.52,10.46,10.5,10.58,10.62,10.7,10.75,10.71,10.64,10.64,10.66,10.64,10.65,10.53,10.53,10.47,10.6
安聯人民幣貨幣市場基金人民幣,10.903,10.9026,10.9017,10.8989,10.898,10.8971,10.8964,10.8955,10.8927,10.8915,10.8911,10.8869,10.8874,10.8867,10.8859,10.8852,10.8831,10.8824,10.8814,10.8804,10.8795,10.8793,10.8785,10.8775,10.8766,10.8757,10.8698,10.865,10.8641,10.8636
